,Unnamed: 0,country,description,designation,rating,price,province,region,title,variety,winery
78075,78075,Spain,"By no means a special wine but it does deliver full-force if generic dark-fruit aromas and flavors. The nose is a little hard and rubbery, but that's Utiel-Requena for you. Medium-bodied but not harsh or burnt; prune and blackberry flavors linger. Tempranillo and Syrah. Wines Imported by USA Wines Inc.",Las Dosces,84,13.0,Levante,Utiel-Requena,chozas carrascal 2006 las dosces red utielrequena,Red Blend,Chozas Carrascal
78081,78081,Spain,"Simple floral and sweet-fruit aromas are good, while the palate runs creamy and thick, with dull-edged plum, berry and chocolate flavors. This is a round, uncut wine that fits the description of your basic country crianza. Imported by USA Wines Inc.",Crianza,84,12.0,Central Spain,Manchuela,viña altaba 2003 crianza bobal manchuela,Bobal,Viña Altaba
78082,78082,Spain,"Dry melon and papaya aromas are common and proper for Cava. The palate, however, is ultrasweet and is weighted down by the wine's dosage. In the end, it's a candied type of bubbly that finishes cloyingly sweet and creamy. Best for fans of sweet white wines.",Brut Jove,84,13.0,Catalonia,Cava,família oliveda nv brut jove sparkling cava,Sparkling Blend,Família Oliveda
78083,78083,Spain,"The only sweetness on offer is on the nose. After that, things go lightweight and tangy, leaving a racy feel and semiastringent cherry flavors. A real sizzler with zesty red fruit and not much else.",Montesierra Oak Aged,83,9.0,Northern Spain,Somontano,bodegas pirineos 2003 montesierra oak aged tempranillo somontano,Tempranillo,Bodegas Pirineos
78086,78086,Spain,"Cloudy in appearance but fairly clear on the nose and palate. Rhubarb and cherry aromas give this an austere, red-fruit bouquet, and the palate rests on racy cherry and doesn't budge. Lean late in the game, with coffee and bitterness to the thin, mildly grating finish.",Vertus,83,13.0,Levante,Utiel-Requena,bodegas iranzo 2006 vertus tempranillo utielrequena,Tempranillo,Bodegas Iranzo
78098,78098,Spain,"Rich and voluptuous on the bouquet, this has coconut, ripe blackberry and leather aromas. It feels huge, grabby, tannic and supercharged, with ultradark and chocolaty berry flavors that last long on the finish, where pepper, spice and chocolate flavors sneak into the frame. Drink 2014–2021.",Figuero Noble,92,132.0,Northern Spain,Ribera del Duero,garcía figuero 2009 figuero noble ribera del duero,Tempranillo,García Figuero
78110,78110,Spain,"This is deep and attractive, with complex aromas of balsam wood, ripe black fruit and bacon. It feels really good and dense, with pastry, roasted berry, chocolate and molasses flavors. The finish is long, flavorful and rewarding. A modern wine to drink now–2016.",Mas de Can Blau,92,45.0,Catalonia,Montsant,can blau 2009 mas de can blau red montsant,Red Blend,Can Blau
78113,78113,Spain,"Despite the less-than-stellar vintage, this is excellent, with dark berry aromas, earthy grit and complexities that rise to the occasion. It feels big, fresh and fruity, with racy black-cherry, chocolate and pepper flavors. Elegant, correct and complete; drink now–2016.",Cyclo,92,58.0,Northern Spain,Ribera del Duero,finca torremilanos 2008 cyclo ribera del duero,Tempranillo,Finca Torremilanos
78152,78152,Spain,"Compact berry and plum aromas set up a solid, nice palate with nectarine and raspberry flavors. This is very drinkable and easygoing; the finish is mellow but propped up by core acidity.",Tempranillo-Garnacha,87,13.0,Northern Spain,Rioja,dinastía vivanco 2013 tempranillogarnacha rosé rioja,Rosé,Dinastía Vivanco
78170,78170,Spain,"The nose on this multigrape blend is gaseous, with forceful berry aromas but little nuance. A tannic, rubbery, rock-hard palate is home to candied black-fruit flavors that are a touch green at the core. Mint and licorice flavors confirm an herbal presence on a brutally tannic finish.",,87,23.0,Catalonia,Montsant,faunus 2011 red montsant,Red Blend,Faunus
78172,78172,Spain,"Fresh plum and berry aromas are cut from a common mold. This is a good but typical juicy Rioja with clean fruit, crisp acidity and nice cherry and raspberry flavors. A touch of bitterness comes up at the tail end of the finish.",,87,11.0,Northern Spain,Rioja,monte clavijo 2012 rioja,Tempranillo,Monte Clavijo
78186,78186,Spain,"Distant berry, plum and earthy aromas come in front of a choppy, tight palate with depth. Plum, tomato and herbal flavors finish with good structure. Overall, this La Mancha Cabernet Sauvignon is well knit, without any notable faults. Drink through 2021.",Orquestal,90,28.0,Central Spain,La Mancha,casa del valle 2011 orquestal cabernet sauvignon la mancha,Cabernet Sauvignon,Casa del Valle
78200,78200,Spain,"Dry, leathery, slightly nutty aromas are more earthy than fruity. This mature Rioja is fresh and light on the palate, with leafy, spicy flavors of plum, tobacco and wood grain. Spicy berry and cocoa flavors grace a fading finish. Drink now.",Viña Ardanza Reserva,90,30.0,Northern Spain,Rioja,la rioja alta 2007 viña ardanza reserva rioja,Tempranillo,La Rioja Alta
78246,78246,Spain,"Right off the bat this is an approachable, steady Verdejo. The nose shows that total blend of white fruits and citrus, while the palate is composed and fresh. Flavors of grapefruit and fresh greens are appropriate, while the finish is clean and zesty.",,87,14.0,Northern Spain,Rueda,condesa eylo 2007 verdejo rueda,Verdejo,Condesa Eylo
78249,78249,Spain,"Dark and savory more than jumpy and candied, and with that this is more serious than most everyday Spanish Garnachas. The palate is pumped up and ripe, with dark berry, black plum and licorice flavors. Along the way a hint of herb and tomato are noticeable, but for the most part this is well-comported, round-bodied Grenache.",,87,12.0,Central Spain,La Mancha,finca antigua 2006 garnacha la mancha,Garnacha,Finca Antigua
78258,78258,Spain,"If you can get by the bell pepper and other Bordeaux-like herbal notes, this Cabernet-Tempranillo blend feels very good on the palate. There's no wayward or jagged acidity or tannic clamp, and the core flavors of cassis and black cherry, while nudged by green pepper and herbs, are solid. Finishes with richer flavors of cough syrup, cola and menthol. Not for everyone, but shows integrity and core power.",,87,12.0,Northern Spain,Navarra,vega sindoa 2006 cabernet sauvignontempranillo navarra,Cabernet Sauvignon-Tempranillo,Vega Sindoa
78264,78264,Spain,"Earthy, dusty plum and berry aromas are concentrated, while this mature gran reserva is still vital on the palate due to fine, crisp acidity. Classic Rioja flavors of vanilla and tobacco accent raspberry and dried cherry flavors, while the finish is mild, harmonious and full of oaky vanilla notes. Drink through 2025.",Coto de Imaz Gran Reserva,93,44.0,Northern Spain,Rioja,el coto 2005 coto de imaz gran reserva rioja,Tempranillo,El Coto
78270,78270,Spain,"This gorgeous Albariño opens with elegant aromas of white flowers, peach and minerals. There's ample acidity, body and flow to the palate, while flavors of nectarine, tangerine and lemon are top-shelf. A long-lasting, clean-as-polished-glass finish confirms excellent overall quality.",Selección Especial,93,27.0,Galicia,Rías Baixas,adegas gran vinum 2014 selección especial albariño rías baixas,Albariño,Adegas Gran Vinum
78291,78291,Spain,"This inky, concentrated bruiser opens with lemony oak, graphite, earth tones and deep black-fruit aromas. Like the nose, the palate is intense and ripe as Tinto Fino gets, with smooth, manageable tannins. Flavors of blackberry, prune, cassis, lemon rind and tobacco end with power, class and depth; drink from 2017–2027.",Noble,93,162.0,Northern Spain,Ribera del Duero,garcía figuero 2010 noble ribera del duero,Tempranillo,García Figuero
78295,78295,Spain,"Tightly wound, layered, moderately tannic and oozing excellence, this is a fantastic high-end Toro from the superb 2012 vintage. The minerally, toasty aroma of blackberry is stylish and shows a balsamic note. Flavors of licorice, sweet balsamic vinegar, chocolate and toasty blackberry continue on a long, deep, complex finish. Drink this ace-level red from 2017–2028.",Gran,95,90.0,Northern Spain,Toro,elias mora 2012 gran toro,Tinta de Toro,Elias Mora
78369,78369,Spain,"The high quality of the 2010 harvest is on display here. Enchanting aromas of mocha, toast and black fruits are complex and crafty. This feels fresh, with a hint of tannic scratch. Flavors of spiced cherry, currant and mocha finish with tobacco notes. Given that 100,000 cases of this Reserva were made, the end result is impressive. Drink through 2020.",Reserva,91,20.0,Northern Spain,Rioja,baron de ley 2010 reserva rioja,Tempranillo Blend,Baron De Ley
78370,78370,Spain,"Direct, pointed black cherry, cassis and black plum aromas are ripe as can be, as is the palate, which feels a bit bumpy and tannic but not heavy or out of balance. Rich, chocolaty blackberry and peppery flavors finish with moderately rough tannins, but everything else is easy. Drink through 2020.",,91,,Northern Spain,Toro,campo alegre 2012 toro,Tinta de Toro,Campo Alegre
78474,78474,Spain,"Overt on the nose, with a wave of mint, dill and vanilla that come straight from the barrel. Game and leather notes come up later, leading to a palate that blends berry flavors with savory sauciness. Finishing accents of tomato leaf and herbs seal this wine as truly Navarran in character.",Crianza,86,16.0,Northern Spain,Navarra,casita mami 2004 crianza merlotcabernet sauvignon navarra,Merlot-Cabernet Sauvignon,Casita Mami
78487,78487,Spain,"Prieto Picudo is the grape here, and it's not your run-of-the-mill red variety. The nose is minty green and rustic, and you can tell it's not cut from a common cloth. In the mouth, Carroleon shows cassis and carob, while the finish has chocolate and a medicinal essence. Top-heavy in terms of concentration, with a thin middle tier.",Carroleon,86,32.0,Northern Spain,Vino de Calidad de Tierras de León,pardevalles 2004 carroleon prieto picudo de calidad de tierras de león,Prieto Picudo,Pardevalles
78488,78488,Spain,"Sweet with brown-sugar aromas, but the nose lacks more than that. Citrus and other sweet aromas are solid but common, while the feel is good and the finish brings back brown sugar and mocha. Standard; not designed for complexity.","Medium, Rich Oloroso",86,13.0,Andalucia,Jerez,pedro romero nv medium rich oloroso sherry jerez,Sherry,Pedro Romero
78495,78495,Spain,"With a violet color and charred aromas of oak, shoe polish and black fruits, this amounts to a very good, woody blend of Carignan and Garnacha that's as healthy as an ox but hits like a bull in a China shop. Blackberry, burnt toast and dark chocolate flavors finish spicy and hot, while rubbery tannins esure that this has a grabby grip. This should improve with additional bottle aging.",Vinyes Velles,89,50.0,Catalonia,Priorat,ferrer bobet 2009 vinyes velles red priorat,Red Blend,Ferrer Bobet
78497,78497,Spain,"This is a modern Tempranillo with big berry fruit aromas offset by baking spice scents and earthiness. The palate feels bold and punchy, with round but present tannins and ripe flavors of baked blackberry, chocolate and mild spice. Drink this friendly, fruity, elevated wine through 2016.",Más le Leda,89,20.0,Northern Spain,Vino de la Tierra de Castilla y León,bodegas leda 2009 más le leda tempranillo de la tierra de castilla y león,Tempranillo,Bodegas Leda
78632,78632,Spain,"Dusty, yeasty, waxy apple aromas open this Verdejo, which feels wet and juicy, with scouring acidity. Lemony flavors include a note of orange peel, and the wine finishes tangy and tart.",,87,16.0,Northern Spain,Rueda,nebla 2016 verdejo rueda,Verdejo,Nebla
78700,78700,Spain,"A heavily charred nose loaded with burnt oak dominates any fruity scents. In terms of flavors and feel, it's more of the same: roasted, burnt oak that's like licking a barrel or hickory branch. This is a one-dimensional oak bomb.",PdM Moncayo,83,12.0,Northern Spain,Campo de Borja,pagos del moncayo 2013 pdm moncayo garnachasyrah campo de borja,Garnacha-Syrah,Pagos del Moncayo
78713,78713,Spain,"This leads with harsh, stunted aromas of earthy berry fruits and rubber. The palate is equally stunted and rough in feel, while tarry, gritty berry flavors finish drawing.",Charm,82,15.0,Northern Spain,Bierzo,encanto 2010 charm mencía bierzo,Mencía,Encanto
78722,78722,Spain,"Composed cherry, cassis, tobacco and oak aromas are elegant and on the spot. This is alert on the palate, with bold acidity and moderate tannins. Lightly herbal plum and cherry aromas are earthy and leafy but not green. A rugged-feeling herbal finish suggests Cabernet Franc, but this is 100% Cab Sauvignon.",La Viña de Mi Madre Reserva,92,40.0,Northern Spain,Navarra,finca albret 2011 la viña de mi madre reserva cabernet sauvignon navarra,Cabernet Sauvignon,Finca Albret
78755,78755,Spain,"Initially this smells rugged and choppy, but calmer aromas of spice, red plum and cherry emerge with time. A fruity, approachable palate and straightforward cherry and plum flavors finish fairly long, with a touch of controlled bitterness.",Tilenus,88,15.0,Northern Spain,Bierzo,estefania 2013 tilenus mencía bierzo,Mencía,Estefania
78772,78772,Spain,"Ripe aromas of prune, blackberry, marzipan and leather announce a palate tougher than the nose indicates. Plum, cherry, prune and peppery flavors finish baked and loamy, with some heat. This is Tempranillo, Cabernet Sauvignon and Merlot.",Crianza,87,18.0,Northern Spain,Navarra,príncipe de viana 2011 crianza red navarra,Red Blend,Príncipe de Viana
78776,78776,Spain,"This five-grape blend is muscular and wide on the palate, with oaky berry flavors that are also tarry and toasty. Hard tannins and some chop on the finish suggest further aging would be beneficial. Drink this Cabernet-led blend that also includes Garnacha, Syrah, Merlot and Cab Franc through 2025.",Finca Malaveïna,92,28.0,Northern Spain,Empordà,perelada 2012 finca malaveïna red empordà,Red Blend,Perelada
78779,78779,Spain,"Smoky, woody, spicy aromas come with notes of campfire, hickory smoke and rubber band. This contains 70% Syrah and 15% each of Garnacha and Carignan. Dark peppery spicy berry flavors are oaky and a touch burnt, while spicy oak and herbal berry flavors make for a satisfying finish. Drink through 2021.",Gran Cruor,92,50.0,Catalonia,Priorat,casa gran del siurana 2010 gran cruor red priorat,Red Blend,Casa Gran del Siurana
78787,78787,Spain,"This is a fine gran reserva from a great vintage. Aromas of vanilla, cedar, earth and spiced black fruits lead to a fresh pure palate with tomato-like snap. Cherry, cassis, tobacco and chocolate flavors finish smooth and clean, with just enough tannic grip. Drink through 2022.",Gran Reserva,92,30.0,Northern Spain,Rioja,baron de ley 2010 gran reserva rioja,Tempranillo,Baron De Ley
78788,78788,Spain,"Dusty aromas of cocoa, herbs and spice grace prune and plum scents. This is firm, layered and healthy in mouthfeel. Flavors of baked plum, blackberry and mocha finish dry and well balanced. This has more than a few years left in it. Drink through 2023.",Viña Albina Reserva,92,25.0,Northern Spain,Rioja,bodegas riojanas 2010 viña albina reserva rioja,Tempranillo Blend,Bodegas Riojanas
78851,78851,Spain,"Toffee and almond aromas are a touch aggressive and hot. Matching the nose, this is intense but still well balanced by core acidity. A giant heaping of rancio blends with flavors of almond skins, apricot and salt in front of a never-ending finish.",Del Duque Vinum Optimum Rare Signatum Amontillado,93,50.0,Andalucia,Jerez,gonzález byass nv del duque vinum optimum rare signatum amontillado sherry jerez,Sherry,González Byass
78858,78858,Spain,"This is another of Hidalgo's superb 30-year-old Sherries, and this example shows hazelnut, butterscotch and citrus aromas on a lifted, luxe nose. The mouthfeel is just right, with oily weight cut by sharp acidity. Flavors of apricot, orange peel, toffee and almond skins finish long and unwavering.",Vinos Viejos de Hidalgo Amontillado Napoleon 30 Years Old,93,120.0,Andalucia,Jerez,bodegas hidalgo nv s viejos de hidalgo amontillado napoleon 30 years old sherry jerez,Sherry,Bodegas Hidalgo
78859,78859,Spain,"Angular, pinched and austere on the nose, this aged dry oloroso also gives off scents of pine resin, almonds and dried stone fruits. An almost chewy palate features integrated, not overt acidity, while round, nutty flavors of almond and caramel are complex and delicious.",Vinos Viejos de Hidalgo Oloroso Faraon 30 Years Old,93,115.0,Andalucia,Jerez,bodegas hidalgo nv s viejos de hidalgo oloroso faraon 30 years old sherry jerez,Sherry,Bodegas Hidalgo
78916,78916,Spain,"Very youthful, yet from 100–year-old vines, this 100% Garnacha has a vibrant purple color and a chocolate-accented nose. Smooth and tart-sweet on the tongue, it delivers flavor and texture galore. It's a real mouthful with a fairly big, persistent finish. Delicious, yet makes you want a more serious rendering of such old, solid fruit. —M.M.",Centenaria,86,10.0,Catalonia,Tarragona,coto de hayas 2001 centenaria garnacha tarragona,Garnacha,Coto de Hayas
78921,78921,Spain,"No cookie-cutter white,  this 80% Viura and 20% Malvasia barrel-aged Rioja has vibrant aromas and flavors. The Malvasia's decidedly orange cast plays off the nuttier Viura and wood notes. Closes dry and toasty, decently long, with a faint bitter almond note. Unique, and tasty for drinking now. —M.M.",Blanco,86,13.0,Northern Spain,Rioja,izadi 2000 blanco viura rioja,Viura,Izadi
78924,78924,Spain,"Round and even, this dry white from the well-known Rioja producer offers sweet hay, apple and vanilla aromas and flavors. Nicely composed, this has decent balance and a smooth, if modest finish. Best to drink now, and a good bar or party pour. Best Buy. —M.M.",Blanco,85,7.0,Northern Spain,Rioja,marqués de cáceres 2000 blanco white rioja,White Blend,Marqués de Cáceres
78932,78932,Spain,"A clean, light wine with cherry and cinnamon notes on the nose and in the mouth. This isn't heavy or deep, but tasty, and evenly textured. Elegant herb and mineral shadings show on the close of this attractive easy drinker. Would do well with a very light chill. —M.M.",Tinto,85,8.0,Northern Spain,Campo de Borja,viña collado 1999 tinto red campo de borja,Tempranillo Blend,Viña Collado
78936,78936,Spain,"Even and medium-weight, this Rueda white shows hay and a slight sour-apple quality. Smoothly textured, it glides across the palate easily and into a broad, dry finish with faint white pepper notes. Appealing, if perhaps a little mature.",,85,9.0,Northern Spain,Rueda,marqués de riscal 2000 white rueda,White Blend,Marqués de Riscal
78940,78940,Spain,"Dryly fruited, this light and flavorful Monastrell (aka Mourv¡edre) blend is a winning, easy drinker. Clean and direct, with dry cherry licorice and mineral shadings, it's a simple and satisfying mouthful, great for patio dining with lighter grilled foods. Best Buy. —M.M.",,85,9.0,Levante,Jumilla,bodegas agapito rico 2000 monastrell jumilla,Monastrell,Bodegas Agapito Rico
78949,78949,Spain,"Aromas of yeasty pastry, powdered sugar and apple pie come prior to a nervy palate with a mix of tropical melon and papaya flavors along with salad-like garden notes. Flavors of green herbs are prominent on the finish.",Made With Organic Grapes,88,18.0,Catalonia,Cava,valdelavia nv made with organic grapes sparkling cava,Sparkling Blend,Valdelavia
78952,78952,Spain,"Apple and pear aromas are clean as a whistle. This is varietal Xarello, a key grape in Cava production. It is citrusy and minerally in feel, with lemon, tangerine and stony flavors mixed with a touch of yeast. A tight, exact finish is juicy and stony.",GR5 Senders,88,13.0,Catalonia,Penedès,vins el cep 2016 gr5 senders xarello penedès,Xarel-lo,Vins El Cep
78954,78954,Spain,"Aromas of creamy vanilla and mixed berry fruits are a bit jumbled. This has a full, grabby, chunky palate, with spicy plum and peppery flavors that don't show a lot of variation or complexity. On the finish, there's heat and oak to cut through.",Glorioso Crianza,88,16.0,Northern Spain,Rioja,bodegas palacio 2014 glorioso crianza rioja,Tempranillo,Bodegas Palacio
78955,78955,Spain,"Malty, earthy, roasted berry aromas become more chocolaty as this wine breathes. An oaky, resiny palate is saturated and shows spicy, peppery black-fruit flavors along with some heat. This Bobal-Merlot blend sizzles on a full-throttle finish that's not shy on oak.",Caprasia,88,20.0,Levante,Utiel-Requena,bodegas vegalfaro 2016 caprasia red utielrequena,Red Blend,Bodegas Vegalfaro
78999,78999,Spain,"From the starting gun, this is a raisiny, candied wine with complexity issues. The palate is tannic and not the least bit varied; basically it just sits there. Flavors of raisin and red licorice finish sweet, medicinal and with a note of green peppercorn. This is flavorful but blocky and strange.",Loidana,85,30.0,Catalonia,Priorat,marco abella 2009 loidana red priorat,Red Blend,Marco Abella
79002,79002,Spain,"Roasted, smoky, earthy aromas of herbal berry fruits and leather stir interest. In the mouth, this Tempranillo is firm and chewy, with full tannins. Savory, spicy and baked in flavor, this basic Penedès red finishes dry, peppery and with leathery berry notes.",Clos de Torribas Crianza,86,10.0,Catalonia,Penedès,pinord 2010 clos de torribas crianza tempranillo penedès,Tempranillo,Pinord
79015,79015,Spain,"Mellow peach and nectarine aromas come with a dusting of talcum powder. On the palate, this is citric and lemony, while a jumble of orange and stone-fruit flavors finish clean and crisp. Overall this is fine but undistinguished.",Viña Real,86,17.0,Northern Spain,Rioja,cvne 2014 viña real rosado rioja,Rosado,CVNE
79023,79023,Spain,"With seven years in bottle, this Cabernet Sauvignon-led blend is what it is. The nose is stewy and raisiny, with baked berry notes. Like the nose, it feels raisiny and heavy. Flavors of raisin, fig and chocolate keep the theme going, while the finish is herbal and earthy in flavor, with heat.",Abat Domènech,86,49.0,Catalonia,Priorat,cesca vicent 2008 abat domènech red priorat,Red Blend,Cesca Vicent
79030,79030,Spain,"Dusty peach, nectarine and chewing gum aromas are clean and standard. A lively palate shows bright but controlled acidity and citrusy notes. Stone-fruit and red-plum flavors finish mild. Drink this year.",,86,12.0,Northern Spain,Rioja,el coto 2014 rosé rioja,Rosé,El Coto
79033,79033,Spain,"Standard cherry and plum aromas are fresh, clean and unadulterated by heavy oak, leather or earth notes. Feels clean and dry, with nice but standard red-berry and plum flavors. Has good flow and feel, with a light dusting of spice on the finish.",Crianza,87,15.0,Northern Spain,Rioja,marqués de cáceres 2008 crianza rioja,Tempranillo Blend,Marqués de Cáceres
79038,79038,Spain,"A nutty and acidic wine, with aromas of pressed walnuts and toffee. Feels tight, sharp and narrow on the tongue, with blazing acidity and dry, limited, salty flavors that fold in toffee and sour fruit notes. Exceedingly salty on the finish; smells great but feels and tastes astringent for such an expensive bottling.",Prestige 50 Amontillado Viejísimo,87,100.0,Andalucia,Jerez,pedro romero nv prestige 50 amontillado viejísimo sherry jerez,Sherry,Pedro Romero
79110,79110,Spain,"Jammy, creamy and superripe, with raspberry, burnt toast and coffee on the thick, meaty nose. Flavors reminiscent of an ice cream sundae work the palate, which means berry syrup, chocolate sauce and vanilla are highly prominent. Texturally speaking, this is a smooth, soft and plush wine. It pushes the envelope on ripeness, but that's become the Cirsion way. An awesome wine that deserves a proper decanting.",Cirsion,96,303.0,Northern Spain,Rioja,bodegas roda 2005 cirsion rioja,Tempranillo,Bodegas Roda
79146,79146,Spain,"Light aromas of green melon and white fruits lead to a plump, slightly flat palate. Pithy citrus and bitter herb flavors are prominent, while this no-spritz Txakoli reverberates with citrus and tangy green-apple notes on the finish.",,85,19.0,Northern Spain,Getariako Txakolina,hiruzta 2016 hondarrabi zuri getariako txakolina,Hondarrabi Zuri,Hiruzta
79152,79152,Spain,"A spicy oaky nose is low on fruit, scattered and chocolaty. In the mouth, creamy oak and high acidity clash, while a lead flavor of chocolaty oak struggles to blend with tart saucy red-fruit notes. A milk chocolate flavor is most prominent on a hollow finish.",4M,85,13.0,Northern Spain,Rioja,taron 2014 4m rioja,Tempranillo,Taron
79153,79153,Spain,Generic mild citrus aromas come with a note of compost. This Macabeo feels round but basic. Dry limited flavors of papaya and citrus fruits finish slightly briny.,Albada Viña Viejas,85,14.0,Northern Spain,Calatayud,bodega virgen de la sierra 2015 albada viña viejas macabeo calatayud,Macabeo,Bodega Virgen de la Sierra
79155,79155,Spain,"A nose comprised of bubble gum, floral plum, berry fruit and oak aromas is simple and sweet. This exudes hard rubbery tannins, while flavors of milk chocolate, cherry and marshmallow end with a hint of vanilla along with a reprise of hard tannins.",,85,15.0,Levante,Utiel-Requena,bovale 2015 bobal utielrequena,Bobal,Bovale
79161,79161,Spain,"Mulchy aromas lack fruit and freshness. In the mouth, this shrieks of high acidity and hard tannins. Oaky flavors of vanilla and cream blend with spicy herbal green-leaning berry notes, while this shows an earthy essence on a muddled finish.",Reserva,85,18.0,Northern Spain,Somontano,enate 2011 reserva cabernet sauvignon somontano,Cabernet Sauvignon,Enate
79162,79162,Spain,"Mango, grass and dusty aromas lead to a fresh mild simple palate. This tastes of pithy citrus fruits and stone-fruit pit, while the finish blends slight bitter notes with slightly tropical ones. It's 70% Verdejo and 30% Sauvignon Blanc.",Altozano,85,9.0,Central Spain,Vino de la Tierra de Castilla,finca constancia 2016 altozano verdejosauvignon blanc de la tierra de castilla,Verdejo-Sauvignon Blanc,Finca Constancia
79167,79167,Spain,"Mild aromas of beeswax and honey announce a straightforward palate with good balance. Grapefruit and green-fruit flavors finish mild and dry, with a light note of white-pepper spice.",Berezia,85,24.0,Northern Spain,Getariako Txakolina,hiruzta 2016 berezia hondarrabi zuri getariako txakolina,Hondarrabi Zuri,Hiruzta
79181,79181,Spain,"Fresh and minerally, melon and peach aromas introduce the medium-bodied palate. Flavors of peach, melon and passion fruit finish clean and modest.",El Cerezo Unoaked,88,11.0,Northern Spain,Navarra,castillo de monjardin 2015 el cerezo unoaked chardonnay navarra,Chardonnay,Castillo de Monjardin
79205,79205,Spain,"Cherry and plum aromas are accented by buttery oak, leather and animal notes. Solid in feel with firm tannins, this warm-vintage Tempranillo is ripe, loamy and loaded with berry and cassis flavors. A lightly raisiny finish is friendly and round. Drink through 2019.",Reserva,90,24.0,Northern Spain,Ribera del Duero,valdubón 2009 reserva ribera del duero,Tempranillo,Valdubón
79230,79230,Spain,"Ripe and cedary on the nose, this Prieto Picudo offers up a strong whiff of spice cake in front of a grippy and astringent palate. Heavily spiced berry flavors are much like Christmas cake, while the finish tastes earthy and roasted.",Estay,87,17.0,Northern Spain,Vino de la Tierra de Castilla y León,dominio dostares 2011 estay prieto picudo de la tierra de castilla y león,Prieto Picudo,Dominio Dostares
79232,79232,Spain,"Aromas of tobacco, vanilla and dried fruit take on a grassy note after airing in the glass. A cool, wet vintage for the region yields a slightly astringent and acidic palate. Flavors of dried plum, cherry and vanilla carry a tart streak, while the finish is both earthy and a bit sour.",Reserva,87,35.0,Northern Spain,Rioja,solar de libano 2008 reserva rioja,Tempranillo Blend,Solar de Libano
79238,79238,Spain,"Raspberry and cherry aromas introduce this pink-tinted rosé. A chewy, full palate feels round and balanced, while flavors of briny berry and cherry finish bouncy and good, with a touch of residual sweetness. Drink now.",Mediodía,87,12.0,Northern Spain,Navarra,inurrieta 2013 mediodía rosado navarra,Rosado,Inurrieta
79243,79243,Spain,"Peach, melon and brown sugar aromas make for a pleasant and full bouquet. This is plump and healthy on the tongue, with fleshy peach tones that finish dusty, round and a touch sweet in flavor. Drink now.",,87,9.0,Northern Spain,Campo de Borja,borsao 2013 rosé campo de borja,Rosé,Borsao
79265,79265,Spain,"This wine's nectarine, mango and citrus aromas are mild. It has a solid mouthfeel that suggests proper balance. Apple, green banana and tropical fruit flavors finish short and low on acid.",Tina 9,86,15.0,Catalonia,Alella,raventós de alella 2015 tina 9 pansa blanca alella,Pansa Blanca,Raventós de Alella
79277,79277,Spain,"A dark purple color and reduced, funky stewed fruit and leather aromas open this tannic, hard-bodied Tempranillo. Its mix of tea and stewed berry flavors finishes rough, with a meaty note.",Roble,86,20.0,Northern Spain,Ribera del Duero,arroyo 2014 roble ribera del duero,Tempranillo,Arroyo
79352,79352,Spain,"Forward cherry and plum aromas are fresh and lively. A blocky, full-bodied palate offers tasty plum and berry flavors in front of a firm finish with chocolaty notes and length. This is basic but done well.",Edicion Limitada,85,9.0,Central Spain,Vino de la Tierra de Castilla,maximo 2011 edicion limitada garnacha de la tierra de castilla,Garnacha,Maximo
79427,79427,Spain,"Aromas of mineral and jammy raspberry are attractive, yet the palate seems a bit metallic and clicky, with hard to penetrate flavors of rooty fruits, vanilla, coconut and cola. Opens with airing to display secondary berry fruit flavors in front of a tough, firm finish. Nice and ripe, and ready to drink.",Furvus,89,34.0,Catalonia,Montsant,vinyes doménech 2006 furvus red montsant,Red Blend,Vinyes Doménech
79432,79432,Spain,"Dark, sweet and candied on the nose, with hints of raisin and licorice that become more prominent in the mouth. Saturated but also somewhat monotone and single-leveled in terms of flavor, where you get a narrow band of sweet black cherry and raisin in front of a short finish. Very nice as always, but not the best Allende we've reviewed.",Allende,89,26.0,Northern Spain,Rioja,finca allende 2006 allende rioja,Tempranillo,Finca Allende
79437,79437,Spain,"Black as night, with chunky, sweet, candied aromas as well as notes of bacon, shoe polish and cough medicine. This is a classic modern-styled wine with intense roasted berry, herb and exotic spice flavors. Licorine, prune, coffee and oak emerge on the broad finish. Very ripe yet it does a good job of straddling the line between big and overripe.",,89,16.0,Central Spain,Almansa,atalaya 2007 red almansa,Red Blend,Atalaya
79438,79438,Spain,"Baked, roasted and earthy, with a deep palate of plum, berry and spice aromas. We wouldn't label this a complex or complicated wine; what you smell and taste initially is more or less what you get. Spicy and chocolaty on the finish, and satisfying.",Tábula,89,29.0,Northern Spain,Ribera del Duero,bodegas y viñedos tábula 2004 tábula ribera del duero,Tempranillo Blend,Bodegas y Viñedos Tábula
79444,79444,Spain,"Aromas of apple, fresh hay, pineapple and natural vanilla draw you in, while the palate is lively and fresh, with citrus, pineapple and pithy lemon flavors. Juicy, clean and zesty on the finish, and chiseled in terms of structure and acidity. Very nice Albariño for the price.",Pionero Maccerato,89,15.0,Galicia,Rías Baixas,viña almirante 2008 pionero maccerato albariño rías baixas,Albariño,Viña Almirante
79445,79445,Spain,"Initiates with savory, mildly soupy aromas on top of berry fruit. The palate is plump, ripe and balanced, with mocha, coffee and dark, meaty berry flavors. Toasty, dry and very solid on the finish, and convincingly rich as a whole.",JC,89,24.0,Northern Spain,Ribera del Duero,vizcarra 2007 jc ribera del duero,Tempranillo,Vizcarra
