designation,wine,wine_year,avg_rating
"Finca el Bosque 2014","Finca el Bosque",2014,4.5
"Els Escurcons 2014","Els Escurcons",2014,4.333333333333333
"Rioja Reserva 2014","Rioja Reserva",2014,4.304999999999997
"Vinos Singulares Tempranillo Blanco Reserva 2014","Vinos Singulares Tempranillo Blanco Reserva",2014,4.4
"Aquilon Garnacha 2014","Aquilon Garnacha",2014,4.575
"La Poza de Ballesteros 2014","La Poza de Ballesteros",2014,4.4333333333333345
"Doix 2014",Doix,2014,4.385714285714285
"Les Tosses 2014","Les Tosses",2014,4.466666666666667
"Torremilanos Coleccion Ribera del Duero 2014","Torremilanos Coleccion Ribera del Duero",2014,4.5
"El Carretil 2014","El Carretil",2014,4.466666666666668
"Gran Reserva 2014","Gran Reserva",2014,4.38421052631579
"5 Partides Gratallops Vi de La Vila 2014","5 Partides Gratallops Vi de La Vila",2014,4.4
"Rioja B70 2014","Rioja B70",2014,4.4
"Rioja Cisma 2014","Rioja Cisma",2014,4.4
"Pirata 2014",Pirata,2014,4.4
"Blecua Somontano 2014","Blecua Somontano",2014,4.425
"Cofradia 2014",Cofradia,2014,4.4
"Valcavado de Traslascuestas 2014","Valcavado de Traslascuestas",2014,4.4
"Oscar Tobia Gran Reserva Rioja 2014","Oscar Tobia Gran Reserva Rioja",2014,4.4
"Onomastica Rioja Reserva 2014","Onomastica Rioja Reserva",2014,4.4
"Garnacha 2014",Garnacha,2014,4.3999999999999995
"Vina Arana Gran Reserva 2014","Vina Arana Gran Reserva",2014,4.333333333333333
"Reserva Privada Rioja 2014","Reserva Privada Rioja",2014,4.35
"Ribera del Duero Una Cepa I 2014","Ribera del Duero Una Cepa I",2014,4.375
"Victorino 2014",Victorino,2014,4.339999999999999
"Triga 2014",Triga,2014,4.366666666666666
"El Puntido 2014","El Puntido",2014,4.266666666666667
"Reserva Seleccion de la Familia 2014","Reserva Seleccion de la Familia",2014,4.3
"Rioja Gran Reserva 2014","Rioja Gran Reserva",2014,4.299999999999998
"San Vicente Rioja 2014","San Vicente Rioja",2014,4.366666666666666
"Torre Muga 2014","Torre Muga",2014,4.366666666666666
"Gran Reserva Rioja (Finca Ygay) 2014","Gran Reserva Rioja (Finca Ygay)",2014,4.279999999999999
"Baron de Chirel Rioja Reserva 2014","Baron de Chirel Rioja Reserva",2014,4.3999999999999995
"Reserva Ribera del Duero 2014","Reserva Ribera del Duero",2014,4.4
"Seleccion Finca el Grajo Viejo 2014","Seleccion Finca el Grajo Viejo",2014,4.35
"Mirto 2014",Mirto,2014,4.233333333333333
"Tierra Alta de 2 Cotas Reserva 2014","Tierra Alta de 2 Cotas Reserva",2014,4.3
"QS 2014",QS,2014,4.25
"Pago Valdebellon 2014","Pago Valdebellon",2014,4.324999999999999
"Perfume de Sonsierra 2014","Perfume de Sonsierra",2014,4.3
"Seleccio Especial Vinyes Velles 2014","Seleccio Especial Vinyes Velles",2014,4.4
"Rioja Blanco 2014","Rioja Blanco",2014,4.3090909090909095
"Vinas Viejas de Soria Ribera Del Duero 2014","Vinas Viejas de Soria Ribera Del Duero",2014,4.380000000000001
"Gran Reserva Ribera del Duero 2014","Gran Reserva Ribera del Duero",2014,4.4
"Solar de Estraunza Reserva 2014","Solar de Estraunza Reserva",2014,4.3
"Matallana 2014",Matallana,2014,4.3
"Gran Vino Blanco 2014","Gran Vino Blanco",2014,4.3
"Toro Gran Elias Mora 2014","Toro Gran Elias Mora",2014,4.3
"Les Manyes 2014","Les Manyes",2014,4.316666666666667
"Masdeu 2014",Masdeu,2014,4.3
"Celia 2014",Celia,2014,4.4
"Reserva Especial 2014","Reserva Especial",2014,4.5
"Vinas Viejas 2014","Vinas Viejas",2014,4.333333333333333
"Vina Tondonia Reserva 2014","Vina Tondonia Reserva",2014,4.3
"Seleccion Especial 2014","Seleccion Especial",2014,4.333333333333333
"Roda Reserva Rioja 2014","Roda Reserva Rioja",2014,4.228571428571429
"Finca El Otero 2014","Finca El Otero",2014,4.25
"Malleolus 2014",Malleolus,2014,4.300000000000001
"Finca Dofi 2014","Finca Dofi",2014,4.319999999999999
"Vi de Vila Gratallops 2014","Vi de Vila Gratallops",2014,4.283333333333332
"Martelo Reserva 2014","Martelo Reserva",2014,4.25
"Clos del Portal Somni 2014","Clos del Portal Somni",2014,4.300000000000001
"Reserva 5 Ano 2014","Reserva 5 Ano",2014,4.2
"Reserva Especial Icon Edition 2014","Reserva Especial Icon Edition",2014,4.2
"5o Ano 2014","5o Ano",2014,4.3
"Ines 2014",Ines,2014,4.3
"Finca La Herradura 2014","Finca La Herradura",2014,4.3
"Rioja Reserva Fincas de Ganuza 2014","Rioja Reserva Fincas de Ganuza",2014,4.2
"Veraton Garnacha 2014","Veraton Garnacha",2014,4.2
"Octogenarius 2014",Octogenarius,2014,4.3
"Coma Vella Priorat 2014","Coma Vella Priorat",2014,4.2
"Vina Centenaria Mencia 2014","Vina Centenaria Mencia",2014,4.3
"Coleccion No. 3 Cosecha 2014","Coleccion No. 3 Cosecha",2014,4.3
"Corimbo I 2014","Corimbo I",2014,4.2
"Taberner Tierra de Cadiz 2014","Taberner Tierra de Cadiz",2014,4.2
"Unico Reserva Especial Edicion 2015","Unico Reserva Especial Edicion",2015,4.730434782608696
"Cuesta de Las Liebres 2015","Cuesta de Las Liebres",2015,4.7
"Tinto 2015",Tinto,2015,4.445283018867913
"Valbuena 5o 2015","Valbuena 5o",2015,4.590322580645159
"El Anejon 2015","El Anejon",2015,4.75
"La Nieta 2015","La Nieta",2015,4.675
"La Mula de la Quietud 2015","La Mula de la Quietud",2015,4.6
"Pingus 2015",Pingus,2015,4.652941176470589
"Cartago Paraje de Pozo 2015","Cartago Paraje de Pozo",2015,4.6000000000000005
"Quinon de Valmira 2015","Quinon de Valmira",2015,4.6
"1902 Centenary Carignan Priorat 2015","1902 Centenary Carignan Priorat",2015,4.6499999999999995
"L'Ermita Velles Vinyes Priorat 2015","L'Ermita Velles Vinyes Priorat",2015,4.666666666666667
"Pago De Valtarrena 2015","Pago De Valtarrena",2015,4.6
"Malleolus de Valderramiro 2015","Malleolus de Valderramiro",2015,4.575
"El Titan del Bendito 2015","El Titan del Bendito",2015,4.566666666666666
"Malleolus de Sanchomartin 2015","Malleolus de Sanchomartin",2015,4.55
"Terreus Paraje de Cueva Baja 2015","Terreus Paraje de Cueva Baja",2015,4.64
"Finca el Bosque 2015","Finca el Bosque",2015,4.5
"Cuvee N Vinas Viejas 2015","Cuvee N Vinas Viejas",2015,4.6
"Contador Rioja 2015","Contador Rioja",2015,4.616666666666666
"Vina El Pison 2015","Vina El Pison",2015,4.568750000000001
"Aquilon Garnacha 2015","Aquilon Garnacha",2015,4.575
"Horcajo 2015",Horcajo,2015,4.6
"Doroteo Edicion Especial 25 Aniversario 2015","Doroteo Edicion Especial 25 Aniversario",2015,4.6
"Reserva Especial 2015","Reserva Especial",2015,4.5
"Respeto 2015",Respeto,2015,4.6
"Clon De La Familia 2015","Clon De La Familia",2015,4.633333333333333
"Gran Reserva Penas Aladas 2015","Gran Reserva Penas Aladas",2015,4.566666666666666
"Ribera del Duero 2015","Ribera del Duero",2015,4.382608695652172
"Toro 2015",Toro,2015,4.377777777777778
"PS (Pagos Seleccionados) Ribera del Duero 2015","PS (Pagos Seleccionados) Ribera del Duero",2015,4.550000000000001
"Clio 2015",Clio,2015,4.5
"Flor de Pingus 2015","Flor de Pingus",2015,4.5
"Parcela El Nogal Tinto 2015","Parcela El Nogal Tinto",2015,4.5
"Macan 2015",Macan,2015,4.5
"Priorat 2015",Priorat,2015,4.43076923076923
"Reserva 2015",Reserva,2015,4.3538461538461535
"Aro 2015",Aro,2015,4.5
"Pago de Santa Cruz 2015","Pago de Santa Cruz",2015,4.5
"Culmen Reserva Rioja 2015","Culmen Reserva Rioja",2015,4.433333333333334
"Petit Verdot 2015","Petit Verdot",2015,4.466666666666667
"Millenium Gran Reserva 2015","Millenium Gran Reserva",2015,4.5
"Gran Reserva Ribera del Duero 2015","Gran Reserva Ribera del Duero",2015,4.4
"Seleccio Especial Vinyes Velles 2015","Seleccio Especial Vinyes Velles",2015,4.4
"Ribera del Duero Prestigio 2015","Ribera del Duero Prestigio",2015,4.55
"Grans Muralles 2015","Grans Muralles",2015,4.42
"Reserva Especial Ribera del Duero 2015","Reserva Especial Ribera del Duero",2015,4.55
"Amancio 2015",Amancio,2015,4.485714285714286
"Regina Vides Ribera del Duero 2015","Regina Vides Ribera del Duero",2015,4.455555555555555
"Finca Los Hoyales Ribera del Duero 2015","Finca Los Hoyales Ribera del Duero",2015,4.45
"Pesus Ribera del Duero 2015","Pesus Ribera del Duero",2015,4.525
"Parcela El Picon Tinto 2015","Parcela El Picon Tinto",2015,4.616666666666666
"Seleccion Rioja 2015","Seleccion Rioja",2015,4.45
"Acediano 2015",Acediano,2015,4.425
"Les Aubaguetes Priorat 2015","Les Aubaguetes Priorat",2015,4.55
"Dalmau Rioja 2015","Dalmau Rioja",2015,4.43
"Mironia Black Edition Tempranillo 2015","Mironia Black Edition Tempranillo",2015,4.5
"La Creu Alta 2015","La Creu Alta",2015,4.574999999999999
"Prado Enea Gran Reserva 2015","Prado Enea Gran Reserva",2015,4.385714285714286
"Alma Tobia Rioja 2015","Alma Tobia Rioja",2015,4.5
"El Carretil 2015","El Carretil",2015,4.466666666666668
"Finca El Canto 2015","Finca El Canto",2015,4.5
"Seleccion Especial 2015","Seleccion Especial",2015,4.333333333333333
"Nebro Ribera del Duero 2015","Nebro Ribera del Duero",2015,4.4
"La Faraona Bierzo (Corullon) 2015","La Faraona Bierzo (Corullon)",2015,4.633333333333333
"Finca Garbet 2015","Finca Garbet",2015,4.55
"Vina Ardanza Reserva 2015","Vina Ardanza Reserva",2015,4.2749999999999995
"Roda I Reserva Rioja 2015","Roda I Reserva Rioja",2015,4.372727272727271
"Hacienda Pradolagar 2015","Hacienda Pradolagar",2015,4.4
"VS 2015",VS,2015,4.475
"Reserva Privada Rioja 2015","Reserva Privada Rioja",2015,4.35
"Baron de Chirel Rioja Reserva 2015","Baron de Chirel Rioja Reserva",2015,4.3999999999999995
"Rejon Tempranillo 2015","Rejon Tempranillo",2015,4.3500000000000005
"Torre Muga 2015","Torre Muga",2015,4.366666666666666
"Gaudium 2015",Gaudium,2015,4.383333333333334
"Edicion Limitada 2015","Edicion Limitada",2015,4.4
"Clos Martinet 2015","Clos Martinet",2015,4.34
"Cerrado del Castillo Rioja 2015","Cerrado del Castillo Rioja",2015,4.5
"Casa Cisca Monastrell 2015","Casa Cisca Monastrell",2015,4.3999999999999995
"La Poza de Ballesteros 2015","La Poza de Ballesteros",2015,4.4333333333333345
"Millenium Reserva 2015","Millenium Reserva",2015,4.45
"Vina del Olivo 2015","Vina del Olivo",2015,4.416666666666667
"El Cel 2015","El Cel",2015,4.4
"Pago de Santa Cruz Gran Reserva Ribera del Duero 2015","Pago de Santa Cruz Gran Reserva Ribera del Duero",2015,4.45
"Doix 2015",Doix,2015,4.385714285714285
"Teixar 2015",Teixar,2015,4.4
"Les Manyes 2015","Les Manyes",2015,4.316666666666667
"Castillo de Monte la Reina Cuvee Privee 2015","Castillo de Monte la Reina Cuvee Privee",2015,4.4
"Maria Ribera del Duero 2015","Maria Ribera del Duero",2015,4.4
"Les Eres Vinyes Velles 2015","Les Eres Vinyes Velles",2015,4.4
"Finca Butaros Vinya Centenaria 2015","Finca Butaros Vinya Centenaria",2015,4.4
"Emporda Gran Claustro 2015","Emporda Gran Claustro",2015,4.4
"Guarda de Leda Seleccion Tempranillo 2015","Guarda de Leda Seleccion Tempranillo",2015,4.4
"Summa Edicion Limitada 2015","Summa Edicion Limitada",2015,4.4
"Gran Reserva 2015","Gran Reserva",2015,4.384210526315789
"Perez Pascuas Gran Reserva Seleccion 2015","Perez Pascuas Gran Reserva Seleccion",2015,4.35
"Alto de la Caseta 2015","Alto de la Caseta",2015,4.35
"Serral del Vell Brut Nature 2015","Serral del Vell Brut Nature",2015,4.4
"Singular Negre 2015","Singular Negre",2015,4.4
"Martires Rioja 2015","Martires Rioja",2015,4.4
"Marti Reserva Penedes 2015","Marti Reserva Penedes",2015,4.4
"Vina Ardanza Reserva Seleccion Especial 2015","Vina Ardanza Reserva Seleccion Especial",2015,4.4
"Finca Helena 2015","Finca Helena",2015,4.4
"Noble 2015",Noble,2015,4.4
"Vina Garugele 2015","Vina Garugele",2015,4.4
"Los Dominios de Berceo Prefiloxerico 2015","Los Dominios de Berceo Prefiloxerico",2015,4.4
"Vina Arana Gran Reserva 2015","Vina Arana Gran Reserva",2015,4.333333333333333
"Vobiscum 2015",Vobiscum,2015,4.4
"Zona Zepa Monastrell 2015","Zona Zepa Monastrell",2015,4.4
"Garnacha Vinas Centenarias 2015","Garnacha Vinas Centenarias",2015,4.4
"Silvanus Edicion Limitada Ribera del Duero 2015","Silvanus Edicion Limitada Ribera del Duero",2015,4.4
"Seleccion Especial (Reserva) 2015","Seleccion Especial (Reserva)",2015,4.25
"Mas La Plana Cabernet Sauvignon 2015","Mas La Plana Cabernet Sauvignon",2015,4.233333333333333
"Numanthia 2015",Numanthia,2015,4.266666666666667
"Ribera del Duero Una Cepa I 2015","Ribera del Duero Una Cepa I",2015,4.375
"Belondrade y Lurton 2015","Belondrade y Lurton",2015,4.45
"El Puntido 2015","El Puntido",2015,4.266666666666667
"Pago Valdebellon 2015","Pago Valdebellon",2015,4.324999999999999
"Finca Martelo 2015","Finca Martelo",2015,4.3
"Pago Negralada 2015","Pago Negralada",2015,4.38
"Rioja Gran Reserva 2015","Rioja Gran Reserva",2015,4.3
